Data,INCC,IPCA,ICC,ICE,Taxa_de_Desemprego,Quantidade_de_cotas,Numero_de_cotistas,CGI,CDI,Dolar,Ibovespa,IFIX,IGP-M,indice_Teva_de_Fundos_Imobiliarios_de_Papel,indice_Teva_de_Fundos_Imobiliarios_de_Tijolo,Poupança,S&P_South_Africa_REIT,Selic,Taxa_Referencial
1997-01-31,100.32,101.18,,,,,,,101.90,01.05,7965.00,,101.77,,,101.25,,101.92,100.84
1997-02-28,100.80,101.69,,,,,,,103.60,01.05,8829.00,,102.20,,,102.43,,103.61,101.47
1997-03-31,101.54,102.21,,,,,,,105.30,01.06,9044.00,,103.38,,,103.59,,105.32,102.00
1997-04-30,101.77,103.10,,,,,,,107.04,01.06,9982.00,,104.08,,,104.76,,107.07,102.57
1997-05-30,102.65,103.53,,,,,,,108.73,01.07,11344.00,,104.30,,,105.95,,108.77,103.20
1997-06-30,103.79,104.09,,,,,,,110.47,01.08,12567.00,,105.08,,,107.17,,110.52,103.79
1997-07-31,104.31,104.31,,,,,,,112.24,01.08,12872.00,,105.17,,,108.42,,112.30,104.48
1997-08-29,105.55,104.29,,,,,,,114.01,01.09,10609.00,,105.27,,,109.64,,114.07,105.12
1997-09-30,105.83,104.36,,,,,,,115.82,1.10,11797.00,,105.78,,,110.91,,115.89,105.72
1997-10-31,105.99,104.60,,,,,,,117.67,1.10,8986.00,,106.17,,,112.19,,117.75,106.51
1997-11-28,106.56,104.77,,,,,,,121.21,1.11,9394.00,,106.84,,,114.48,,121.32,108.12
1997-12-31,106.81,105.22,,,,,,,124.74,1.12,10196.00,,107.74,,,116.56,,124.95,109.25
1998-01-30,107.16,105.97,,,,,,,128.08,1.12,9720.00,,108.78,,,118.48,,128.30,110.49
1998-02-27,107.67,106.46,,,,,,,130.79,1.13,10570.00,,108.97,,,119.61,,131.04,110.84
1998-03-31,108.18,106.82,,,,,,,133.66,1.14,11946.00,,109.18,,,121.29,,133.95,111.44
1998-04-30,107.64,107.08,,,,,,,135.95,1.14,11677.00,,109.31,,,122.47,,136.26,111.87
1998-05-29,108.69,107.61,,,,,,,138.17,1.15,9846.00,,109.46,,,123.64,,138.48,112.43
1998-06-30,109.12,107.63,,,,,,,140.38,1.16,9678.00,,109.88,,,124.87,,140.71,112.92
1998-07-31,109.49,107.50,,,,,,,142.76,1.16,10707.00,,109.70,,,126.18,,143.11,113.46
1998-08-31,109.73,106.96,,,,,,,144.87,1.18,6472.00,,109.53,,,127.29,,145.22,113.92
1998-09-30,109.74,106.72,,,,,,,148.38,1.19,6593.00,,109.44,,,128.50,,148.74,115.09
1998-10-30,109.75,106.74,,,,,,,152.71,1.19,7047.00,,109.52,,,130.29,,153.10,116.11
1998-11-30,109.70,106.61,,,,,,,156.68,1.20,8631.00,,109.17,,,131.75,,157.17,116.65
1998-12-31,109.75,106.97,,,,,,,160.43,1.21,6784.00,,109.66,,,133.39,,160.97,117.33
1999-01-29,110.36,107.71,,,,,,,163.88,1.98,8171.00,,110.58,,,134.75,,164.44,118.29
1999-02-26,111.44,108.85,,,,,,,167.72,02.06,8910.00,,114.57,,,136.55,,168.34,119.06
1999-03-31,112.05,110.04,75.72,,,,,,173.23,1.72,10696.00,,117.82,,,138.83,,173.94,119.99
1999-04-30,112.63,110.66,75.86,,,,,,177.21,1.66,11350.00,,118.66,,,140.37,,178.08,120.63
1999-05-31,113.60,110.99,77.29,,,,,,180.74,1.72,11089.00,,118.32,,,141.88,,181.73,120.99
1999-06-30,114.07,111.20,91.51,,,,,,183.70,1.77,11626.00,,118.75,,,143.04,,184.78,121.35
1999-07-30,114.59,112.41,99.11,,,,,,186.69,1.79,10441.00,,120.58,,,144.17,,187.85,121.73
1999-08-31,115.38,113.04,98.17,,,,,,189.58,1.92,10564.00,,122.46,,,145.32,,190.80,122.05
1999-09-30,116.37,113.39,99.03,,,,,,192.36,1.92,11106.00,,124.24,,,146.45,,193.64,122.33
1999-10-29,117.55,114.74,95.52,,,,,,195.01,1.95,11700.00,,126.35,,,147.51,,196.32,122.55
1999-11-30,118.62,115.83,93.87,,,,,,197.68,1.92,13778.00,,129.37,,,148.54,,199.04,122.82
1999-12-31,119.85,116.53,94.62,,,,,,200.81,1.79,17091.00,,131.71,,,149.73,,202.22,123.15
2000-01-31,121.14,117.25,100.91,,,,,,203.71,1.80,16388.00,,133.33,,,150.81,,205.17,123.45
2000-02-29,122.07,117.40,107.34,,,,,,206.64,1.77,17660.00,,133.80,,,151.91,,208.15,123.65
2000-03-31,122.75,117.66,100.09,,,,,,209.62,1.75,17820.00,,134.01,,,153.02,,211.16,123.91
2000-04-28,123.49,118.16,93.93,,,,,,212.31,1.81,15537.00,,134.32,,,153.98,,213.90,124.10
2000-05-31,125.16,118.17,89.44,,,,,,215.47,1.83,14956.00,,134.73,,,155.14,,217.10,124.40
2000-06-30,126.07,118.44,94.54,,,,,,218.46,1.80,16727.00,,135.88,,,156.25,,220.13,124.62
2000-07-31,126.45,120.35,98.31,,,,,,221.31,1.77,16454.00,,138.02,,,157.27,,223.01,124.84
2000-08-31,126.94,121.92,91.20,,,,,,224.40,1.82,17346.00,,141.31,,,158.38,,226.14,125.02
2000-09-29,127.27,122.20,92.02,,,,,,227.13,1.84,15928.00,,142.94,,,159.33,,228.91,125.17
2000-10-31,127.69,122.37,98.51,,,,,,230.03,1.91,14867.00,,143.49,,,160.34,,231.86,125.32
2000-11-30,128.21,122.77,99.37,,,,,,232.83,1.96,13287.00,,143.91,,,161.34,,234.69,125.49
2000-12-29,129.03,123.49,100.82,,,,,,235.62,1.96,15259.00,,144.82,,,162.30,,237.50,125.61
2001-01-31,129.78,124.19,111.34,98.80,,,,,238.59,1.97,17672.00,,145.72,,,163.34,,240.51,125.78
2001-02-28,130.22,124.77,113.47,99.60,,,,,240.99,02.05,15891.00,,146.05,,,164.21,,242.96,125.83
2001-03-30,130.58,125.24,108.55,98.90,,,,,244.00,2.16,14438.00,,146.87,,,165.32,,246.01,126.05
2001-04-30,131.05,125.97,105.22,98.20,,,,,246.88,2.18,14917.00,,148.34,,,166.40,,248.92,126.25
2001-05-31,133.81,126.48,102.40,96.30,,,,,250.17,2.36,14649.00,,149.62,,,167.54,,252.24,126.48
2001-06-29,135.36,127.14,79.44,94.40,,,,,253.34,2.30,14559.00,,151.09,,,168.62,,255.44,126.71
2001-07-31,136.07,128.83,87.20,92.20,,,,,257.14,2.43,13754.00,,153.33,,,169.88,,259.26,127.09
2001-08-31,136.91,129.73,86.38,89.80,,,,,261.25,2.55,12840.00,,155.45,,,171.32,,263.41,127.45
2001-09-28,137.66,130.10,90.74,87.30,,,,,264.71,2.67,10635.00,,155.93,,,172.45,,266.90,127.73
2001-10-31,138.94,131.18,80.65,83.60,,,,,268.77,2.71,11364.00,,157.77,,,173.82,,271.00,128.05
2001-11-30,139.97,132.11,78.31,87.80,,,,,272.52,2.53,12931.00,,159.50,,,175.03,,274.77,128.32
2001-12-31,140.45,132.97,86.28,90.90,,,,,276.31,2.32,13577.00,,159.85,,,176.25,,278.60,128.58
2002-01-31,140.95,133.66,87.04,92.00,,,,,280.55,2.42,12721.00,,160.43,,,177.59,,282.88,128.88
2002-02-28,141.77,134.14,90.66,93.90,,,,,284.05,2.35,14033.00,,160.53,,,178.69,,286.41,129.07
2002-03-28,142.55,134.94,91.30,94.60,,,,,287.94,2.32,13254.00,,160.68,,,179.90,,290.34,129.33
2002-04-30,143.02,136.02,96.00,96.00,,,,,292.22,2.36,13085.00,,161.57,,,181.22,,294.65,129.60
2002-05-31,146.64,136.31,96.15,94.60,,,,,296.32,2.52,12861.00,,162.91,,,182.51,,298.82,129.86
2002-06-28,147.48,136.88,84.40,94.00,,,,,300.20,2.84,11139.00,,165.42,,,183.71,,302.79,130.13
2002-07-31,147.90,138.51,93.81,92.50,,,,,304.81,3.47,9762.00,,168.65,,,185.12,,307.44,130.46
2002-08-30,149.38,139.41,89.80,94.00,,,,,309.21,03.02,10382.00,,172.56,,,186.51,,311.88,130.76
2002-09-30,150.44,140.41,99.22,94.50,,,,,313.48,3.89,8622.00,,176.70,,,187.81,,316.19,131.04
2002-10-31,152.14,142.25,94.91,94.40,,,,,318.60,3.65,10167.00,,183.55,,,189.27,,321.36,131.44
2002-11-29,155.87,146.55,98.68,95.90,,,,,323.47,3.64,10508.00,,193.07,,,190.72,,326.30,131.84
2002-12-31,158.52,149.63,102.92,96.50,,135835303,,,329.05,3.53,11268.00,,200.31,,,192.37,,331.95,132.31
2003-01-31,160.91,152.99,102.97,96.30,,16083319,,,335.51,3.53,10941.00,,204.97,,,194.27,,338.49,132.93
2003-02-28,163.15,155.40,103.53,95.30,,16083319,,,341.63,3.56,10280.00,,209.66,,,196.05,,344.68,133.39
2003-03-31,165.40,157.31,101.89,93.60,,16188119,,,347.69,3.35,11273.00,,212.87,,,197.77,,350.80,133.97
2003-04-30,166.89,158.83,107.66,92.00,,16188119,,,354.18,2.89,12556.00,,214.84,,,199.59,,357.37,134.51
2003-05-30,171.63,159.80,112.04,89.50,,16188119,,,361.12,2.97,13421.00,,214.27,,,201.52,,364.39,135.15
2003-06-30,173.43,159.56,116.81,87.30,,225131625,,,367.81,2.87,12972.00,,212.12,,,203.37,,371.17,135.74
2003-07-31,175.15,159.88,111.47,84.10,,226643969,,,375.46,2.97,13571.00,,211.24,,,205.51,,378.92,136.40
2003-08-29,177.67,160.43,109.37,89.40,,226751585,,,382.12,2.97,15174.00,,212.04,,,207.37,,385.67,136.91
2003-09-30,178.06,161.68,106.41,93.80,,226907710,,,388.52,2.92,16010.00,,214.55,,,209.11,,392.18,137.31
2003-10-31,179.22,162.15,104.72,97.70,,226952499,,,394.88,2.86,17982.00,,215.37,,,210.83,,398.63,137.69
2003-11-28,181.08,162.70,108.68,99.10,,226986750,,,400.18,2.95,20183.00,,216.42,,,212.26,,404.00,137.95
2003-12-31,181.37,163.54,115.33,99.90,,228263018,,,405.66,2.89,22236.00,,217.75,,,213.72,,409.57,138.14
2004-01-30,181.97,164.79,124.16,100.40,,228474325,,,410.77,2.94,21851.00,,219.66,,,215.07,,414.76,138.34
2004-02-27,183.79,165.79,123.40,102.00,,228569239,,,415.21,2.91,21755.00,,221.18,,,216.24,,419.26,138.44
2004-03-31,185.92,166.57,113.29,103.30,,228651539,,,420.92,2.91,22142.00,,223.69,,,217.71,,425.04,138.63
2004-04-30,187.02,167.19,108.01,104.50,,228734651,,,425.87,2.94,19607.00,,226.40,,,218.99,,430.07,138.81
2004-05-31,190.44,168.04,124.23,107.00,,229188500,,,431.08,3.13,19544.00,,229.36,,,220.43,,435.35,139.05
2004-06-30,191.78,169.23,117.07,109.50,,229266560,,,436.36,3.11,21148.00,,232.52,,,221.92,,440.70,139.29
2004-07-30,193.92,170.77,118.50,111.60,,229341893,,,441.95,03.03,22336.00,,235.56,,,223.46,,446.37,139.57
2004-08-31,195.49,171.95,120.72,111.70,,230563890,,,447.63,2.93,22803.00,,238.43,,,225.03,,452.15,139.83
2004-09-30,196.63,172.52,128.43,111.30,,230668437,,,453.20,2.86,23245.00,,240.08,,,226.55,,457.80,140.04
2004-10-29,198.97,173.28,141.92,111.00,,230860823,,,458.66,2.86,23052.00,,241.02,,,227.93,,463.35,140.21
2004-11-30,200.38,174.47,144.96,108.70,,230961086,,,464.38,2.73,25128.00,,242.99,,,229.33,,469.14,140.43
