,Data,INCC,IPCA,ICC,ICE,Taxa_de_Desemprego,Quantidade_de_cotas,Numero_de_cotistas,CGI,CDI,Dolar,Ibovespa,IFIX,IGP-M,indice_Teva_de_Fundos_Imobiliarios_de_Papel,indice_Teva_de_Fundos_Imobiliarios_de_Tijolo,Poupança,S&P_South_Africa_REIT,Selic,Taxa_Referencial,mes,ano_data,VOLUME DA EMISSAO
0,2005-10-31,213.76,184.3,107.65,94.3,,349219032.0,,,545.15,2.25,30193.0,,246.77,,,248.68,,550.91,144.13,2005-10,2005,1028705230.85
1,2006-03-31,216.73,188.66,137.75,99.4,,349641699.0,,,583.44,2.17,37951.0,,249.46,,,257.35,,589.75,145.38,2006-03,2006,126900.0
2,2007-05-31,231.78,195.26,126.49,109.8,,357341450.0,,,677.81,1.93,52268.0,,260.32,,,282.32,,685.49,148.71,2007-05,2007,25775750.62
3,2007-06-29,233.92,195.81,129.77,109.8,,357344785.0,,,683.93,1.93,54392.0,,261.0,,,284.01,,691.71,148.89,2007-06,2007,2135600.0
4,2007-09-28,236.45,197.56,131.81,112.5,,358260242.0,,,702.98,1.84,60465.0,,267.7,,,289.24,,711.07,149.36,2007-09,2007,2599747.04
5,2007-10-31,237.66,198.15,133.34,113.6,,358340342.0,,,709.47,1.74,65317.0,,270.51,,,291.01,,717.68,149.47,2007-10,2007,89705165.39
6,2007-12-31,239.92,200.38,139.9,111.5,,359905379.0,,,721.44,1.77,63886.0,,277.18,,,294.29,,729.85,149.68,2007-12,2007,116689744.01
7,2008-01-31,240.83,201.46,142.61,110.9,,360340885.0,,,728.09,1.76,59490.0,,280.2,,,296.06,,736.63,149.8,2008-01,2008,13559137.65
8,2008-03-31,243.39,203.42,147.72,112.2,,361035725.0,,,740.03,1.75,60968.0,,283.77,,,299.23,,748.82,150.02,2008-03,2008,504595760.55
9,2008-05-30,250.47,206.15,147.36,111.7,,361140725.0,,,753.17,1.63,72592.0,,290.33,,,302.74,,762.18,150.31,2008-05,2008,73297643.86
10,2008-07-31,259.0,208.78,131.23,113.3,,361424248.0,,,768.36,1.57,59505.0,,301.31,,,306.71,,777.66,150.81,2008-07,2008,488000000.0
11,2008-08-29,262.06,209.36,137.05,114.9,,363029793.0,,,776.15,1.63,55680.0,,300.33,,,308.73,,785.57,151.1,2008-08,2008,2550999.89
12,2008-09-30,264.55,209.91,141.28,109.2,,365176613.0,,,784.65,1.91,49541.0,,300.65,,,310.88,,794.22,151.39,2008-09,2008,10055814.96
13,2008-10-31,266.59,210.85,140.46,99.4,,365327210.0,,,793.86,2.12,37256.0,,303.59,,,313.22,,803.55,151.72,2008-10,2008,247629199.75
14,2008-12-31,268.37,212.2,128.66,76.8,,366251602.0,,,810.68,2.34,37550.0,,304.36,,,317.55,,820.87,152.24,2008-12,2008,16162899.0
15,2009-01-30,269.26,213.22,125.16,78.4,,402477076.0,,,819.16,2.32,39300.0,,303.04,,,319.73,,829.51,152.51,2009-01,2009,120000000.0
16,2009-02-27,269.99,214.4,134.12,79.6,,368623076.0,,,826.14,2.38,38183.0,,303.83,,,321.47,,836.6,152.6,2009-02,2009,19408211.0
17,2009-03-31,269.31,214.82,130.88,81.0,,368653076.0,,,834.17,2.32,40925.0,,301.58,,,323.54,,844.77,152.75,2009-03,2009,28980369.68
18,2009-04-30,269.2,215.86,126.33,86.6,,368692178.0,,,841.17,2.18,47289.0,,301.11,,,325.31,,851.89,152.81,2009-04,2009,168830038.88
19,2009-05-29,272.95,216.87,128.95,90.5,,370119778.0,,,847.62,1.97,53197.0,,300.89,,,327.08,,858.46,152.93,2009-05,2009,45702356.0
20,2009-06-30,274.86,217.65,139.99,93.9,,414772019.0,,,854.03,1.95,51465.0,,300.6,,,328.93,,865.03,153.02,2009-06,2009,13833756.75
21,2009-08-31,275.43,218.5,145.61,101.6,,379099733.0,,,866.68,1.89,56488.0,,298.21,,,332.64,,877.93,153.15,2009-08,2009,39400285.25
22,2009-10-30,276.01,219.64,157.15,106.5,,379060413.0,,,878.71,1.74,61545.0,,299.6,,,335.98,,890.15,153.2,2009-10,2009,369521835.12
23,2009-11-30,276.81,220.54,155.79,108.2,,379102828.0,,,884.5,1.75,67044.0,,299.91,,,337.66,,896.03,153.25,2009-11,2009,18024529.13
24,2009-12-31,277.09,221.35,156.63,109.9,,380811582.0,,,890.91,1.74,68588.0,,299.13,,,339.53,,902.55,153.26,2009-12,2009,5204706.3
25,2010-01-29,278.86,223.01,160.47,111.8,,381007982.0,,,896.77,1.87,65401.0,,301.02,,,341.23,,908.51,153.3,2010-01,2010,54887878.0
26,2010-02-26,279.87,224.75,161.43,113.1,,381124207.0,,,902.08,1.81,66503.0,,304.56,,,342.93,,913.91,153.3,2010-02,2010,33939671.18
27,2010-03-31,281.97,225.92,159.92,114.8,,382672307.0,,,908.91,1.78,70371.0,,307.44,,,344.92,,920.85,153.35,2010-03,2010,180904237.14
28,2010-04-30,284.33,227.21,154.66,113.9,,382926552.0,,,914.92,1.73,67529.0,,309.79,,,346.64,,926.96,153.4,2010-04,2010,110961252.31
29,2010-05-31,289.48,228.19,155.77,114.2,,383936476.0,,,921.78,1.82,63046.0,,313.47,,,348.56,,933.93,153.51,2010-05,2010,502125845.75
30,2010-06-30,292.64,228.19,160.55,112.8,,397448063.0,,,929.05,1.8,60935.0,,316.13,,,350.5,,941.3,153.64,2010-06,2010,534611773.13
31,2010-07-30,293.92,228.21,157.16,112.1,,466686454.0,,,937.01,1.76,67515.0,,316.62,,,352.66,,949.39,153.8,2010-07,2010,281171940.13
32,2010-08-31,294.33,228.3,164.5,112.8,,400779894.0,,,945.32,1.76,65145.0,,319.06,,,354.75,,957.82,153.93,2010-08,2010,5125160.64
33,2010-09-30,294.95,229.33,162.62,112.7,,403400250.0,,,953.3,1.69,69429.0,,322.74,,,356.77,,965.94,154.04,2010-09,2010,49835556.050000004
34,2010-10-29,295.54,231.05,155.37,113.0,,409060268.0,,,960.98,1.7,70673.0,,326.0,,,358.73,,973.74,154.11,2010-10,2010,1428393094.81
35,2010-11-30,296.64,232.97,160.06,112.1,,417415059.0,,,968.72,1.72,67705.0,,330.71,,,360.64,,981.6,154.22,2010-11,2010,20399754.67
36,2010-12-31,298.62,234.43,164.26,111.3,,422634278.0,,,977.7,1.67,69304.0,1000.0,333.0,,,362.95,,990.72,154.38,2010-12,2010,520439246.18000007
37,2011-01-31,299.85,236.38,160.83,109.6,,422976694.0,,,986.1,1.67,66574.0,1005.64,335.64,,,365.03,,999.24,154.54,2011-01,2011,429243002.59
38,2011-02-28,300.69,238.27,164.21,110.9,,423029107.0,,,994.41,1.66,67383.0,1000.48,338.99,,,367.05,,1007.67,154.58,2011-02,2011,1527259347.51
39,2011-03-31,301.98,240.15,160.29,109.6,,552375604.0,,,1003.53,1.63,68586.0,1028.25,341.1,,,369.33,,1016.93,154.75,2011-03,2011,138244036.73
40,2011-04-29,305.18,242.0,159.44,110.9,,540152497.0,,,1011.93,1.57,66132.0,1046.39,342.62,,,371.31,,1025.47,154.88,2011-04,2011,110358949.19
41,2011-05-31,314.15,243.14,153.0,109.3,,544177274.0,,,1021.91,1.58,64620.0,1040.6,344.1,,,373.75,,1035.6,155.1,2011-05,2011,162613268.20000002
42,2011-06-30,315.32,243.5,153.81,109.0,,4012525209.0,,,1031.63,1.56,62403.0,1056.1,343.47,,,376.04,,1045.49,155.28,2011-06,2011,484108396.64
43,2011-07-29,316.74,243.89,152.93,108.4,,4023624118.0,,,1041.59,1.56,58823.0,1084.51,343.08,,,378.39,,1055.6,155.53,2011-07,2011,50349165.809999995
44,2011-08-31,317.15,244.8,152.71,106.4,,4023965031.0,,,1052.76,1.59,56495.0,1092.91,344.59,,,381.07,,1066.94,155.79,2011-08,2011,714646595.8
45,2011-09-30,317.59,246.09,154.08,104.9,,4059554220.0,,,1062.68,1.85,52324.0,1111.17,346.81,,,383.36,,1077.01,155.96,2011-09,2011,2088777733.25
46,2011-10-31,318.32,247.15,151.91,104.3,,4062498061.0,,,1072.06,1.69,58338.0,1107.17,348.65,,,385.51,,1086.52,156.08,2011-10,2011,175988495.44
47,2011-11-30,320.61,248.44,155.36,103.7,,4066682478.0,,,1081.26,1.81,56874.0,1123.57,350.38,,,387.69,,1095.87,156.21,2011-11,2011,144045350.22
48,2011-12-30,320.97,249.68,158.17,103.1,,5076310158.0,,,1091.06,1.88,56754.0,1165.09,349.97,,,389.99,,1105.84,156.37,2011-12,2011,2038709470.98
49,2012-01-31,323.82,251.08,158.33,103.7,100.0,4193827822.0,,,1100.74,1.74,63072.0,1200.43,350.84,,,392.28,,1115.71,156.51,2012-01,2012,103677646.82
50,2012-02-29,324.79,252.21,170.18,103.9,7.9,4201516923.0,,,1108.91,1.71,65811.0,1256.23,350.63,,,394.24,,1124.06,156.56,2012-02,2012,232910874.48000002
51,2012-03-30,326.45,252.74,164.42,104.5,7.9,4345781131.0,,,1117.9,1.82,64510.0,1307.3,352.13,,,396.64,,1133.32,156.67,2012-03,2012,3996696085.14
52,2012-04-30,328.9,254.35,164.99,103.8,7.8,4347957233.0,,,1125.76,1.89,61820.0,1326.05,355.13,,,398.71,,1141.42,156.7,2012-04,2012,68334296.16
53,2012-05-31,335.08,255.27,163.05,103.2,7.6,4370944927.0,,,1134.02,2.02,54490.0,1371.46,358.77,,,400.89,,1149.95,156.74,2012-05,2012,618918401.76
54,2012-06-29,337.53,255.47,162.35,102.9,7.5,4492162919.0,,,1141.26,2.02,54354.0,1424.97,361.13,,,402.9,,1157.32,156.75,2012-06,2012,491143167.96
55,2012-07-31,339.79,256.57,160.56,102.9,7.4,4646474393.0,,,1148.99,2.05,56097.0,1511.95,365.98,,,404.97,,1165.21,156.77,2012-07,2012,66098448.84
56,2012-08-31,340.67,257.62,156.3,103.4,7.3,4697937720.0,,,1156.9,2.04,57061.0,1505.51,371.2,,,407.05,,1173.3,156.77,2012-08,2012,250001234.83
57,2012-09-28,341.42,259.09,158.29,104.9,7.1,4698915953.0,,,1163.12,2.03,59175.0,1532.0,374.79,,,409.08,,1179.62,156.77,2012-09,2012,2559779520.46
58,2012-10-31,342.14,260.62,161.38,104.5,6.9,4701200243.0,,,1170.19,2.03,57068.0,1500.57,374.88,,,411.13,,1186.84,156.77,2012-10,2012,441760029.1
59,2012-11-30,343.27,262.19,159.69,104.5,6.8,4729106016.0,,,1176.56,2.11,57474.0,1506.52,374.78,,,413.18,,1193.36,156.77,2012-11,2012,452021559.31
60,2012-12-31,343.82,264.26,161.81,103.6,6.9,4855164071.0,,,1182.86,2.04,60952.0,1573.34,377.34,,,415.25,,1199.91,156.77,2012-12,2012,686511433.9200001
61,2013-01-31,346.05,266.53,160.55,103.2,7.2,4895267111.0,,,1189.79,1.99,59761.0,1613.76,378.61,,,417.32,,1207.14,156.77,2013-01,2013,286581768.31
62,2013-02-28,348.13,268.13,165.85,103.3,7.7,4924321908.0,,,1195.52,1.98,57424.0,1597.88,379.71,,,419.41,43.23,1213.08,156.77,2013-02,2013,97651600.57
63,2013-03-28,349.87,269.39,159.96,103.2,8.0,4926892521.0,,,1201.95,2.01,56352.0,1579.32,380.5,,,421.51,44.45,1219.75,156.77,2013-03,2013,358280149.89
64,2013-04-30,352.46,270.87,155.62,102.3,7.8,4779651027.0,,,1209.16,2.0,55910.0,1549.0,381.05,,,423.61,47.39,1227.22,156.77,2013-04,2013,249891539.47
65,2013-05-31,360.39,271.87,145.97,103.5,7.6,4779851896.0,,,1216.21,2.13,53506.0,1549.36,381.07,,,425.73,39.47,1234.55,156.77,2013-05,2013,78817792.7
66,2013-06-28,364.53,272.58,145.04,103.0,7.4,4888005067.0,,,1223.41,2.22,47457.0,1437.76,383.92,,,427.86,42.88,1242.02,156.77,2013-06,2013,207047563.03
67,2013-07-31,366.28,272.66,136.73,100.1,7.3,4890336314.0,,,1232.06,2.29,48234.0,1427.11,384.92,,,430.09,42.81,1250.99,156.81,2013-07,2013,714947535.57
68,2013-08-30,367.42,273.32,133.04,101.5,7.1,4926274622.0,,,1240.61,2.37,50011.0,1375.07,385.48,,,432.24,41.01,1259.85,156.85,2013-08,2013,385532223.8
69,2013-09-30,369.0,274.27,136.74,101.7,6.9,4969686003.0,,,1249.28,2.23,52338.0,1400.93,391.26,,,434.44,41.7,1268.84,156.9,2013-09,2013,2729708432.75
70,2013-10-31,369.96,275.84,139.24,100.2,6.7,4970760957.0,,,1259.29,2.2,54256.0,1423.1,394.62,,,437.01,42.44,1279.1,157.01,2013-10,2013,7440566327.79
71,2013-11-29,371.25,277.33,138.01,99.5,6.5,5657961962.0,,,1268.22,2.32,52482.0,1411.67,395.76,,,439.29,42.2,1288.27,157.09,2013-11,2013,105739405.58
